,PatientID,SiteID,RaterID,AssessmentID,TxGroup,VisitDay,P1,P2,P3,P4,P5,P6,P7,N1,N2,N3,N4,N5,N6,N7,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,PANSS_Total,numVisit
PatientID,1.0,0.08369601893444399,0.007280013372820572,0.011094086806508816,0.05938338516647193,0.027763184712819786,0.05873889135037278,0.01895680560373693,-0.048343023391969914,0.029801827328992867,-0.0550220425120623,0.0032029020884278394,0.0049016003487690795,0.008523464768796516,-0.041527600022916264,-0.038405987180261156,-0.06741264327873273,-0.05428853106761234,-0.025121442908742478,0.03936536348136194,0.012244450383043136,0.0275239557620813,-0.02386114593973522,0.07195985397246661,0.017502525465986078,0.02920824566679816,0.05466015598881051,0.0044404344303264585,0.014188517350714932,0.046749002055359354,-0.008908606154861661,-0.011041992146538677,-0.03368555867717505,-0.013932404266043589,-0.016081459443054304,0.006676642250237444,-0.001988714987434936,-0.0882077552343151
SiteID,0.08369601893444399,1.0,-0.1487078433899607,0.022521911339472366,-0.026358557261191882,0.013815701641390569,0.09021348722946922,0.06895646989832364,0.112509167427473,0.007116678329614974,0.060730439888288155,0.14541765890281472,0.052696465037214084,0.053685938982424616,-0.031118341856024852,-0.047209399049252504,0.0042815035354752,0.008813368401582991,0.0008239235672403148,0.08237596635487855,0.11988475860157302,0.11378195665871825,0.015972100281981216,0.17381089355202956,-0.017420325096714814,0.18837186551267265,0.09961283151190765,-0.024636431975536482,0.19012936732932367,-0.014940706377948868,0.02510435715984632,0.014255169094098732,-0.07744456087473688,0.08312001643795427,0.007815838762731802,0.16876760489848364,0.13077494859158317,-0.01010676219729188
RaterID,0.007280013372820572,-0.1487078433899607,1.0,-0.010054927034760647,0.06798756992956013,0.03425460193722618,0.052136655853266003,-0.03172517986325235,0.04438060156829286,-0.023506585874658616,-0.022494582008834738,0.06904692882105007,0.02931411311338154,-0.04911920444137429,0.0347120481160659,-0.08958239942558612,0.015879277885560886,-0.007958393952176597,-0.07448145119015694,-0.08614878633464682,-0.06194810442720382,0.026782787450734938,-0.017647399163636814,-0.07547657498558849,0.03561216403033951,0.026165063420068798,0.038078401555537995,0.02933236588230423,0.06499362529978113,0.14676891954613913,-0.030106119130407224,-0.0817194318228911,-0.10135946875260711,0.00586025400606483,-0.03202272075255169,0.0014151082154072636,-0.013367802958571573,-0.08975042251528101
AssessmentID,0.011094086806508816,0.022521911339472366,-0.010054927034760647,1.0,0.01903553488587438,-0.001007265064576136,0.0202065248582178,-0.046111793919296325,-0.0008150334896863061,-0.017028434715728454,0.04452690997981394,0.02511423162774293,-0.012430514800541782,-0.033771040256379274,-0.04828718901365925,-0.04492696168628627,-0.06759846368669109,-0.009282987054935979,-0.022931375563530504,-0.004194573310080859,0.012156770333004352,-0.005979945114385393,-0.01697059127015567,0.005036417363101982,-0.04477091423959945,0.0013751743079947845,-0.005012606412256101,-0.025533968653808376,-0.02794437607594742,-0.011281664493648567,-0.05618625409218228,-0.05198767967782639,-0.05980254068953983,0.020689785838762787,-0.0008787544572724925,-0.00820070728224983,-0.039763421647470806,-0.0012754905007160782
TxGroup,0.05938338516647193,-0.026358557261191882,0.06798756992956013,0.01903553488587438,1.0,0.033704164634796585,-0.03336589362429126,0.03995359135531627,0.027150296555756882,0.017046067969192967,0.012385447789366118,-0.010587480523348554,0.008648836275221089,-0.06571071190403471,-0.05386603579859044,-0.09804188631711871,-0.04393854868715373,0.004600135308746373,-0.04753987767637791,-0.05087795648904265,0.03928351450146375,-0.024066096035852583,0.0050823391342837395,-0.06250828590704012,-0.01042787622267306,0.016582423109882543,-0.018459567012133256,-0.03527153593009879,-0.026483915795212417,-0.029176397691173618,0.0003432091722092209,-0.06244870932343958,-0.03392006804064155,-0.03713105022398435,-0.011458586567270695,-0.020214157193772276,-0.04785839331514082,-0.017424891147422933
VisitDay,0.027763184712819786,0.013815701641390569,0.03425460193722618,-0.001007265064576136,0.033704164634796585,1.0,-0.13448820313175755,-0.04588218434389534,-0.09994105855572842,-0.07136580266540031,-0.1009389837433464,-0.12614145768573212,-0.10455948204510795,-0.04178804673216719,-0.06934190819101152,-0.11541901544914507,-0.059010807317863574,-0.03560871704883722,-0.06683526971390404,-0.06996696226566318,-0.030879385843355877,-0.09096466135343116,-0.11039057777406282,-0.09195429927127784,-0.07497809876981773,-0.007892734511963857,-0.056833522968501006,-0.10438689943493253,-0.07789379571021067,-0.07657166278475516,-0.08060980370301327,-0.023028654573943822,-0.0673283910633162,-0.12579858626656515,-0.07183067819707552,-0.10339869256399788,-0.17872787619300828,0.13060910804308393
P1,0.05873889135037278,0.09021348722946922,0.052136655853266003,0.0202065248582178,-0.03336589362429126,-0.13448820313175755,1.0,0.20222566419721374,0.4436640471923241,0.23215286752677344,0.3497074891251819,0.5317222888555002,0.20829104667367068,-0.018994042593974945,0.011536601980635957,-0.0019027718555857044,-0.023852348094654346,0.0827065720983626,-0.08353944036578927,0.17175992287222075,0.20257273529380487,0.3412540037887079,0.21588900361158067,0.3256255866443474,0.1069131460717815,0.24989549497344352,0.03131313283018579,0.10442428838550831,0.6147097458501966,0.1440033542953168,0.07383414926413372,0.11734483990485604,-0.006832808100407061,0.2172885959848251,0.3563628080173567,0.326011777391884,0.5112776784753056,-0.07066910084960185
P2,0.01895680560373693,0.06895646989832364,-0.03172517986325235,-0.046111793919296325,0.03995359135531627,-0.04588218434389534,0.20222566419721374,1.0,-0.15876162161784627,0.1274006344540923,0.025386831349008633,0.0016778890107608504,0.11729944805836016,0.3291236592979979,0.3103965979918175,0.4075322603906906,0.3050971529254171,0.24421747402446134,0.237754985990319,0.45973227984121057,0.055113691965995595,0.09750944386757633,-0.01354092577898188,0.2040164013231672,0.4366621270409939,0.00012753719152786927,0.14737189582625296,0.32222633100648346,0.30405478265480956,0.18360550758736616,0.5128047610163275,0.4156368057252954,0.43372859049859397,0.15233308715418653,0.3539817740404688,0.09644901172365034,0.5708653858171483,-0.10962717456236167
P3,-0.048343023391969914,0.112509167427473,0.04438060156829286,-0.0008150334896863061,0.027150296555756882,-0.09994105855572842,0.4436640471923241,-0.15876162161784627,1.0,0.1260139030230601,0.22742523071732804,0.4085869446126838,0.11426613667552193,-0.1732050994986395,-0.10709806051352912,-0.23100628482231153,-0.09934461838209523,0.0570783972258258,-0.12907862854687654,-0.13461176485234844,0.08982338086678764,0.22978390923988348,0.16985946768461557,0.14832198315413425,-0.17460189753417954,0.2481141277231182,-0.029066052615236503,-0.10127791273311199,0.26178362748932454,0.0655471897855517,-0.15287561766051896,-0.15938274524395227,-0.24023765709807365,0.07734370639086792,0.09838534623718737,0.2246525035152468,0.17702575847552024,0.14504087730776768
P4,0.029801827328992867,0.007116678329614974,-0.023506585874658616,-0.017028434715728454,0.017046067969192967,-0.07136580266540031,0.23215286752677344,0.1274006344540923,0.1260139030230601,1.0,0.22443305629101842,0.2375953368009279,0.3710226998709463,-0.15409048406164683,-0.07713352371197028,-0.04118857560233731,-0.10615282254174316,0.01197617873378637,-0.12591762728945197,0.16044855902398047,0.15431059408904593,0.25563680840018466,0.17077760383364543,0.3018391308306119,0.12335448040511725,0.1314003718794312,-0.09430292125963509,0.19691358117265143,0.20232664311524823,0.0877433030226326,0.0991576102707592,0.055381160138945,0.02093038435185511,0.424066439954485,0.14125409625370478,0.1661668311009887,0.3057200670501257,0.08192388222256984
