,PatientID,SiteID,RaterID,AssessmentID,TxGroup,VisitDay,P1,P2,P3,P4,P5,P6,P7,N1,N2,N3,N4,N5,N6,N7,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,PANSS_Total,numVisit
PatientID,1.0,-0.046774466688149746,-0.051027385995723214,0.02728320158984051,0.07994272535063084,-0.004077908838788631,0.00024410930478657646,-0.01673960800928055,-0.0031645576400249737,0.0034690517200328037,-0.017524196190978794,-0.021153841663644986,-0.0642333430725055,-0.022096905675289623,-0.07463303804659734,-0.07091024497968675,-0.1211808707915901,-0.015827691315939443,0.016815950052567724,-0.10799317648997422,0.00863144512931636,-0.011757737555418162,-0.06762373071535584,-0.056106186902370216,-0.037253129759615485,-0.06187114638242856,-0.03268321216376791,-0.0559587750905814,0.0013816371957614724,-0.05757452195089357,-0.03966988253294557,-0.02491697575676002,-0.08794957252767482,-0.05458974792875219,-0.06592371451251068,-0.05293399443995785,-0.07245307694840075,0.008133032045602983
SiteID,-0.046774466688149746,1.0,0.12731724208781822,0.0239298103391269,-0.07682594117402694,-0.046233730320383595,-0.07546612154885189,0.026505008129919433,-0.05151289512002448,0.13494944622121877,0.09979376462158601,-0.06619881217864057,0.08362194109329352,-0.12931042789473568,-0.04228869799811641,-0.06352230381895353,0.01766517452006513,0.017686054917530187,0.017361216964861072,0.14389994810043114,0.21963877113981908,-0.1346080933584205,0.1395785834481331,0.023950377655728324,0.10039406346363579,0.09514674312539635,0.056045636758268964,0.07123811111199974,0.04554935048240408,0.08499726152314536,0.03953544162458615,-0.0018946854431276053,0.1728922574181923,0.10875498468365492,-0.09672259782431392,-0.14190830609150296,0.05697697525478009,-0.1010927528951087
RaterID,-0.051027385995723214,0.12731724208781822,1.0,-0.02108332609718416,0.05092450074110895,0.04208425895078589,0.06063575664985124,0.08383582721546697,0.09658020605146606,0.0640842034449939,0.09917265270124229,0.045309735276328915,0.05703077280955253,0.049874083677556934,0.06779307016643955,0.06298080935398827,0.041978178236794436,0.05313489280696208,-0.06232236152778855,-0.04214626906415462,0.03076507220667868,0.07269252652519312,0.11476258563042624,-0.007960670550870547,-0.04076621303347797,0.054990367620630747,-0.10816968738718843,0.10868228562206594,0.052678020151147725,0.048191118568427144,0.16562716261227994,0.06118342108985729,0.15807614199162504,0.09335042049458557,-0.06024013432953466,0.00558984126683914,0.08818365858526327,0.09148182016989509
AssessmentID,0.02728320158984051,0.0239298103391269,-0.02108332609718416,1.0,-0.025205339833872176,0.032139543592699306,-0.001681752182169275,-0.02125231188966249,-0.004629425801995409,0.02614554305782996,-0.017716523797877564,-0.049854725066550525,-0.02757595435400169,0.016010487653801506,-0.014881156209338619,0.003344622537738496,0.013377479906890283,0.014389304898118472,0.024134240232512934,0.016316503773079867,-0.010392140170071618,9.481297003443083e-05,-0.0033008005511759807,0.027240898426021884,0.020495116453888355,-0.03357655810666782,0.018372351926765767,0.021145055332587533,-0.0008438572243731614,0.0022184025275175964,0.016724302410596907,-0.017078365191787896,0.028692449186866174,0.025385573393695696,0.019874519893735093,-0.022288237732326226,0.003281152362297738,-0.0010564259875339213
TxGroup,0.07994272535063084,-0.07682594117402694,0.05092450074110895,-0.025205339833872176,1.0,0.010444454992442401,-0.058041797325158385,-0.0049475930301905256,-0.006709272672505172,-0.008544734600328854,-0.05364855575536578,-0.032562017121134455,-0.03896545066434247,0.01860378234064098,-0.06347929627481615,0.03649184123469678,-0.021633894502533477,0.040036192628452066,0.043862836958404025,-0.007974953433907408,-0.0649134852691683,-0.03056266238382091,-0.03852451311495598,-0.0918099970509005,-0.011087670246000717,0.010193622083577585,-0.01835052151567829,0.022366172872624622,-0.01675898251769637,0.013938537025961676,0.0414447667622391,0.041011229552835864,0.007517962609153219,-0.016523516548183226,-0.0565124446548651,-0.006967743406274838,-0.0238908042918609,0.03148583069006645
VisitDay,-0.004077908838788631,-0.046233730320383595,0.04208425895078589,0.032139543592699306,0.010444454992442401,1.0,-0.452482946961416,-0.5874465242599038,-0.47779429524695916,-0.22382310737575398,-0.17484310009266518,-0.5199846403885876,-0.1335122543818742,-0.23249282242482383,-0.2721653843950807,-0.1622144435987778,-0.21379599338730443,-0.1874153476177739,-0.14133298336422448,-0.24757177234256877,-0.12711790094745273,-0.27838761986436483,-0.16287126111800068,-0.29243768669780124,-0.18281137164345848,-0.20231278881241585,-0.10638236880643366,-0.13064451782811745,-0.5454774458253346,-0.1948222534286696,-0.2863299514058236,-0.14021212627877472,-0.20961719541971943,-0.13887885511585504,-0.31395544269818737,-0.31783369331149564,-0.47551919432865275,0.38626030044040555
P1,0.00024410930478657646,-0.07546612154885189,0.06063575664985124,-0.001681752182169275,-0.058041797325158385,-0.452482946961416,1.0,0.6935365784400757,0.7274747250335827,0.377026502260688,0.3661547429895491,0.7222031278765768,0.322598833508255,0.22541935576613675,0.3715905056814292,0.23263666329742427,0.33769894127028094,0.2389103455049853,0.1332199581637281,0.36462935074868996,0.16866426597510167,0.45369664445627317,0.172378956444009,0.41011631997664755,0.24296555819549112,0.27405567371802836,0.06580580973976469,0.31105667157983125,0.7693044013234985,0.31531301741304946,0.3930583609342606,0.3540922690709322,0.22106124661806942,0.28598823196582907,0.4555333663230559,0.4738053165434442,0.7133671327690249,-0.2739215160413862
P2,-0.01673960800928055,0.026505008129919433,0.08383582721546697,-0.02125231188966249,-0.0049475930301905256,-0.5874465242599038,0.6935365784400757,1.0,0.699549173393404,0.42695699711129087,0.31893934850595745,0.6692031597826814,0.3557029588163911,0.2799919664626688,0.42082968895016587,0.36932166214742956,0.35467131793424067,0.3873221397884122,0.25141559892784704,0.4281898221323827,0.18099027141282073,0.37420159895332494,0.16158949313745302,0.43578175935315905,0.3233050446986844,0.2626342595705938,0.15106705128294215,0.3695686242745331,0.7819838479577691,0.3980126989877849,0.5631441887811811,0.43931101645645626,0.4145931230230973,0.3276354864248722,0.49290470539193537,0.44061769025024,0.790252207987006,-0.32595201976544663
P3,-0.0031645576400249737,-0.05151289512002448,0.09658020605146606,-0.004629425801995409,-0.006709272672505172,-0.47779429524695916,0.7274747250335827,0.699549173393404,1.0,0.3404479333223414,0.2731563454023946,0.6983494468227212,0.31476111565578835,0.23963352648526778,0.358780081417718,0.253236679255542,0.3191440489814159,0.2687803761217508,0.20562600735866662,0.2728606672080728,0.11190420516954531,0.45568149865969404,0.14100303185101562,0.4212143080788153,0.18545114645358016,0.2881400729493299,0.10063989813471011,0.2980145515933101,0.718053929108959,0.3158015877764565,0.4205274419167335,0.2834974615473443,0.2597054000013298,0.2880832561554496,0.4440722345866797,0.4803218595222444,0.6959517935370813,-0.2623520891529272
P4,0.0034690517200328037,0.13494944622121877,0.0640842034449939,0.02614554305782996,-0.008544734600328854,-0.22382310737575398,0.377026502260688,0.42695699711129087,0.3404479333223414,1.0,0.27386742931405067,0.3404236592511141,0.4914488007256788,-0.010718910153688851,0.1209909614824757,0.2114079571324946,0.10013179974464015,0.19038008091138003,0.07076657684842061,0.3114034573223613,0.09677580772284339,0.2287821313383128,0.14523809832674686,0.38395150677964446,0.2715343021766371,0.0869458141585113,-0.0868090680577762,0.46196189309284424,0.3975324402292493,0.20248159797823037,0.42025723918572233,0.30442543213891265,0.23326013772018214,0.5294258621638483,0.31761355059299873,0.15019128293500067,0.5172567444751494,-0.17779953985062394
