,PatientID,SiteID,RaterID,AssessmentID,TxGroup,VisitDay,P1,P2,P3,P4,P5,P6,P7,N1,N2,N3,N4,N5,N6,N7,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,PANSS_Total,numVisit
PatientID,1.0,-0.05109889323218373,0.07167921056667698,0.013922508129152507,0.04462713031437794,0.005741141565269175,0.03747800162469962,0.053898445791998456,-0.05859372784676863,0.0948666571716225,0.06616350881144692,-0.0037632880329077764,0.032910748769690114,-0.04868108488093512,-0.046712433495695246,-0.032698539362989956,-0.0419953309203062,-0.03371405996860693,0.04264308610612518,0.09546332284605366,-0.018800436503546868,0.026125767448518578,-0.011886956158770083,0.029164520253265734,-0.005577997442927896,-0.03713304864103648,-0.019801371853184764,0.05912996404803803,0.062097885550937544,0.014629998757683301,0.014020864987926592,0.034592891725770666,0.029849859055133758,0.08873059037674662,0.003700781160103993,0.025393534561573724,0.02624422954645681,0.05401516098042335
SiteID,-0.05109889323218373,1.0,-0.4017853284396101,0.008444476382746632,0.08256250393912651,-0.035726526727920274,-0.07192002789046223,0.01119610784754115,0.0011608180362322135,-0.09688304374055723,-0.13846624504556188,-0.10085931514291903,-0.12469274203894265,0.05216454319732734,-0.005483772866860724,-0.004931181327249709,-0.0008816360432965589,-0.029764523290688745,-0.01915038531113522,-0.08001164741507567,-0.10630811616649954,-0.20303940629030617,0.02307148166393764,-0.06553427149248083,-0.025126668039789395,0.029633251553884677,0.011558932706185921,-0.18154831171349992,-0.10485187881867764,-0.05689209492558424,-0.13250678143271744,0.02671065168551456,-0.046668266443073744,-0.048443194757808984,-0.08589135829381618,-0.03049680711365818,-0.09348545585924842,-0.13704920286730246
RaterID,0.07167921056667698,-0.4017853284396101,1.0,-0.007278884301805738,-0.038416582039645084,0.021564605308341294,-0.02793337185867476,-0.08150687792486112,-0.005806675436680096,0.11864006798522915,0.11235092202312127,0.05965845739041809,0.03464302981689463,-0.08397832416216511,-0.013814939657175286,-0.03738377909883702,0.0037723502500647673,-0.028972162567797506,0.0016420153792482475,0.09724482629670175,0.06323339495688385,0.08390499501624386,0.01833846460717607,0.09723111856873455,0.037488682254369514,-0.023043471931608012,-0.12229589764697485,0.1339396305080405,0.161309900942649,-0.03961245059272987,0.04062520107297073,0.012208834515340163,0.05674775912048886,0.10601081607447929,0.10227765464841618,0.07978370893995919,0.05634677075079389,0.05766238422627282
AssessmentID,0.013922508129152507,0.008444476382746632,-0.007278884301805738,1.0,0.06350381208506296,0.025236050903557312,-0.04698314571184262,-0.017822463098397315,-0.034257166543562007,-0.06206822318871956,-0.04683521491184624,-0.03484150628750629,-0.056459073778092575,-0.00093796411274025,-0.009210270356960799,-0.016881030074260242,-0.021334976585369998,0.009717301024636108,0.03179840957855531,-0.01805813840344673,-0.012981886721917087,-0.06143463261725382,0.005674305038351169,-0.048689779174626385,-0.005908994608646168,-0.03661398935956613,0.02484482335320865,-0.02790899257752401,-0.04264537744797378,-0.006543628865741127,-0.016887314056667144,-0.02518495568322804,-0.004357356385405916,-0.030822382524298714,0.012553235143981564,-0.006341583071196706,-0.0360010455085974,0.008313610010498894
TxGroup,0.04462713031437794,0.08256250393912651,-0.038416582039645084,0.06350381208506296,1.0,-0.0006741781772592766,0.005485667855141791,-0.04245645859678913,-0.014418846579527187,0.0031302460987478733,0.033402895683030905,-0.009781071896368019,-0.02547754488662986,-0.14198807102908473,-0.06938201301135558,-0.13264027942229487,-0.1260497513253935,-0.004701559750620715,-0.05636655545240424,-0.03629632749656278,-0.05292453281662551,-0.01554444331353114,0.0642352987905007,-0.012770878787723363,-0.03107723930243505,-0.013446452843509633,-0.054015918904294566,0.011718092241339954,0.00732013304495399,-0.05611845986533375,-0.013637366866786847,-0.06855646103160751,-0.07240490074758199,-0.01978910413718252,0.051557763532091586,-0.044000061996096886,-0.052398547410475366,-0.01675018466771828
VisitDay,0.005741141565269175,-0.035726526727920274,0.021564605308341294,0.025236050903557312,-0.0006741781772592766,1.0,-0.4807444127624816,-0.374230987801985,-0.46547465984800623,-0.3665717351056051,-0.20375292178051663,-0.4637116531525145,-0.291310901518116,-0.29269127647988236,-0.337158672590717,-0.3900291943404158,-0.38368711335745803,-0.2844420050452757,-0.28608604158518125,-0.21350405687112672,-0.18038855581540944,-0.3422873940702273,-0.15619441573083295,-0.3863456486978731,-0.22478730530303911,-0.22673689305343167,-0.19595004511592914,-0.26985428574557896,-0.3068308087078906,-0.1987774073547706,-0.3573184590608451,-0.2931653256079218,-0.3014190826682237,-0.2969278923201184,-0.2926826217738867,-0.3831890065983994,-0.5352694077271873,0.24623416320760502
P1,0.03747800162469962,-0.07192002789046223,-0.02793337185867476,-0.04698314571184262,0.005485667855141791,-0.4807444127624816,1.0,0.4346316754992889,0.6302603249951169,0.3628047982956506,0.38313903269867605,0.6657617717203467,0.3535248877642586,0.2524060829411084,0.29840242732856725,0.26967068305317277,0.29956918088210505,0.2627032847309419,0.17806951307531,0.24610383915999154,0.21473686989899207,0.4088049527217687,0.2162588127964436,0.3642693161303404,0.17779788056357762,0.24711343527134605,0.1463845432729953,0.24847437220220137,0.49923604913985326,0.20883590761430829,0.2899650991671437,0.36986215688694934,0.2605456163401621,0.22703998329863473,0.4020445883433082,0.4290209892841823,0.6078871200806829,-0.19242489045822167
P2,0.053898445791998456,0.01119610784754115,-0.08150687792486112,-0.017822463098397315,-0.04245645859678913,-0.374230987801985,0.4346316754992889,1.0,0.3415160523990334,0.457312027425366,0.24895682494322255,0.3673124199072479,0.34330016893566484,0.40685271968823167,0.4728844913280519,0.535373273549523,0.4206710512009491,0.4448496303587109,0.4721488134626089,0.590717766257016,0.10290871595207103,0.2833830434444638,0.22010846146447252,0.3653691235471703,0.5030266115855292,0.25933133389894986,0.29666715194615056,0.38387321826213466,0.46659188383848293,0.34584722711290355,0.5103059980023639,0.5167231039731366,0.543928207874479,0.3341776035661442,0.45257120264514633,0.4299810485220479,0.7176321607752438,0.017570049930136437
P3,-0.05859372784676863,0.0011608180362322135,-0.005806675436680096,-0.034257166543562007,-0.014418846579527187,-0.46547465984800623,0.6302603249951169,0.3415160523990334,1.0,0.3589522061438729,0.17466542978090147,0.532735721676587,0.28507070965083564,0.18126959140499038,0.2803389900081713,0.2900284028171339,0.303953058722166,0.31515875007338584,0.2140556788535585,0.186388718942087,0.22193200215211864,0.42206355142005353,0.2339935677561906,0.3664500748221691,0.10434303778730435,0.2161204263782859,0.16285602415037087,0.19094911953935834,0.34963711717895224,0.2886912124918404,0.3345255663556902,0.25077435481391325,0.24862833072549825,0.17809122233460112,0.3219723454728887,0.3260022705114998,0.5479376936208122,-0.16237757116584836
P4,0.0948666571716225,-0.09688304374055723,0.11864006798522915,-0.06206822318871956,0.0031302460987478733,-0.3665717351056051,0.3628047982956506,0.457312027425366,0.3589522061438729,1.0,0.3324597349155917,0.42213657299746216,0.639917138348936,0.18674354402652116,0.27747349791783754,0.36400693014143964,0.23717062873526457,0.2969497775400189,0.24138008190946234,0.40402467027106004,0.1802056260828346,0.393559568774912,0.22582058076530684,0.503102711015654,0.3693190854029468,0.24056554445188508,0.06147004620039929,0.5137376044876542,0.3928130795229998,0.2711980652548267,0.4272103785826599,0.3346919113534812,0.3377593503105357,0.5764892993769879,0.3208021680851638,0.33801618391122557,0.6360090404258869,-0.0903569825089039
