,PatientID,SiteID,RaterID,AssessmentID,TxGroup,VisitDay,P1,P2,P3,P4,P5,P6,P7,N1,N2,N3,N4,N5,N6,N7,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,PANSS_Total,numVisit
PatientID,1.0,0.001703558969349473,-0.03793435337934423,-0.008131181877219893,0.008760776355939968,0.007242516283011735,-0.007032184223062469,-0.058752448038300625,-0.006414988039744056,-0.0048851751300150615,-0.0004703112406958249,-0.018903528539640637,0.013196847530809372,-0.0480116812965759,-0.022176494291236082,-0.00372919802450827,-0.031689329315604094,-0.05096125399051757,-0.014081354890775565,-0.01287967560106239,-0.018330773703988782,0.013103577868365817,-0.02820251910860562,-0.017171427125377267,-0.006929476586743836,-0.023756684708278495,-0.029177221502472227,-0.00013086808822595732,-0.002327366172044338,-0.003205440536770565,-0.009341191338382343,-0.003362201250228957,-0.03615472145531449,0.01218350749050511,-0.005073592247519089,-0.033716394396537064,-0.02848316084853368,0.015175704218824524
SiteID,0.001703558969349473,1.0,0.056769296582096215,-0.0076601684429973265,0.05007178557767468,0.005648870812959843,0.004306865273040836,-0.017618367297414776,0.011152566061945538,-0.003828928382689086,0.05753311623610055,-0.0015167806860232895,-0.0011781915373767387,-0.028017464858104083,-0.04368812054079069,-0.044836027402016934,-0.026754771328444688,-0.038205594796552736,-0.0054661047774252035,-0.032942239288367,0.05988061594968123,0.007233962278620421,0.042534203178711795,-0.020487570384312766,-0.033707360762093797,0.01264966496457849,-0.03820315595446311,0.01060249051056758,0.0038896418101064174,0.0016362389152616466,-0.01924570667844555,-0.013342330456658108,-0.027942950343879017,-0.003607991234521299,-0.06201099800820505,-0.062090086727890625,-0.018874549847870552,0.013440821505727327
RaterID,-0.03793435337934423,0.056769296582096215,1.0,0.01673837478967189,-0.02075343009465984,-0.014200063628145064,0.0012633977566624214,0.07131834596984338,-0.06532650572844992,-0.013829626191716802,-0.022193983819410106,-0.01837124120533141,-0.032174715445615176,0.06038911847874568,0.05865512740346596,0.06692286616608799,0.06950209757784481,0.06845761871189855,0.059773683920816896,-0.007138608614121745,-0.043203636201648375,-0.004879187708774627,-0.0331055928222976,-0.027832205547797403,0.08860129396461192,-0.04784789509736239,-0.0007262049089176361,-0.03993333283131512,0.02730898562305592,-0.004520054349702274,0.04583357815652896,0.08587390511523445,0.03200338265182176,-0.06802611337329081,0.054437332824708244,-0.03835862893444604,0.020088833041693628,-0.019997937897088664
AssessmentID,-0.008131181877219893,-0.0076601684429973265,0.01673837478967189,1.0,0.008074398770198771,0.0012906441420315806,-0.0015499334699683297,0.009056515400579095,0.010201917282565302,-0.00268749563306546,-0.012200564047670752,0.006579929699914216,-0.006492450122253892,0.01325573124272091,0.013115472051105843,0.008281767753844533,0.011980284438144247,-0.0015115758527581636,0.02251892971716162,0.006614723115949656,0.014827813588476969,0.006681279450754023,0.0008191716633837934,0.004768592371720139,0.002107289093624299,0.0012057596565089401,0.00656771312925464,-0.002549393084217843,-0.0010360563873988437,-0.0030235504236714346,-0.0005648388417527321,-0.005277501122443499,0.01478254317144576,-0.011420296347046801,0.0058822735257850435,0.013104324648908766,0.00795501219582586,0.0034067412257166633
TxGroup,0.008760776355939968,0.05007178557767468,-0.02075343009465984,0.008074398770198771,1.0,0.025079705369590727,-0.015247388125025848,-0.00820379284905122,0.0001365974637478974,-0.013953648847878872,-0.00733372514170589,-0.03827913600926478,-0.007981116451402932,0.004600205446818101,-0.0069955087677641276,-0.012679793574823068,0.00908695310899645,-0.007256400438680868,-0.024647217730538542,-0.04899793484178093,0.03166331428347327,0.0018352705567233414,-0.019391831996557776,-0.015920408150311892,0.014600983719619579,-0.0006578634263473792,-0.015708224859653317,-0.024620493251480753,-0.003607389388952135,-0.03167508701238823,-0.010934309380827838,-0.022404388890353514,-0.019920082613538084,-0.010428475377302225,-0.03476770139356843,-0.024913529627004875,-0.02223669392688938,0.04162194765261465
VisitDay,0.007242516283011735,0.005648870812959843,-0.014200063628145064,0.0012906441420315806,0.025079705369590727,1.0,-0.5134819216299984,-0.4054483826493446,-0.4050169338285476,-0.3721665109000543,-0.26574657234640103,-0.5007649303112209,-0.3191637833887164,-0.31905260036291844,-0.3690554675685329,-0.3537484572909223,-0.3486390770938336,-0.27077414327477994,-0.3151715251102086,-0.36489192984113883,-0.25544177987178984,-0.3988547888993948,-0.2810513839371512,-0.3981558038035698,-0.2574697014100982,-0.27432262077351544,-0.25083990122096433,-0.30314068173236497,-0.4313766812391492,-0.26682852634634413,-0.3579144728464902,-0.2805293871597121,-0.3449885999355511,-0.3331323687697772,-0.41342259806857495,-0.4162668945359711,-0.6423274445548864,0.5501376179536719
P1,-0.007032184223062469,0.004306865273040836,0.0012633977566624214,-0.0015499334699683297,-0.015247388125025848,-0.5134819216299984,1.0,0.4670019916113311,0.6048198278673912,0.46254864377642635,0.42658012951238,0.7424155492528502,0.4289040780978914,0.189373475892462,0.27465775330866754,0.22679974917686654,0.2741134168375412,0.26666566537544567,0.160674038039034,0.37278468838523526,0.2593155243964137,0.4479559999334365,0.27564913777430067,0.392064872883087,0.1983552968587785,0.29101677437366263,0.13987998865740228,0.3643680435991678,0.6874476720629231,0.2425266838597175,0.294254736038835,0.3444970352971756,0.26585841613115074,0.37362967059496033,0.4601029879261153,0.4638509942525502,0.7202647613651715,-0.37487890033817073
P2,-0.058752448038300625,-0.017618367297414776,0.07131834596984338,0.009056515400579095,-0.00820379284905122,-0.4054483826493446,0.4670019916113311,1.0,0.33572277358085734,0.38447336414326533,0.26714199437393116,0.364482249960894,0.30263269327988807,0.34784517538901544,0.3222505722154779,0.391863710663357,0.3032596228023998,0.39887515223574693,0.34891813757680507,0.4471665858063083,0.16185465643425115,0.2754631151813554,0.13251018245844792,0.3043707067634901,0.35288600914110585,0.09769872924475395,0.15955386069287272,0.31899979442527876,0.47130926392893296,0.22178785227455786,0.4694923736107887,0.34528456200272184,0.4104417228912111,0.2741512055129883,0.417873011573918,0.32810404902556817,0.6442601109954024,-0.27048139202820115
P3,-0.006414988039744056,0.011152566061945538,-0.06532650572844992,0.010201917282565302,0.0001365974637478974,-0.4050169338285476,0.6048198278673912,0.33572277358085734,1.0,0.36281903931385234,0.29689937851737147,0.5102984108013827,0.2991915348469922,0.12775743560186015,0.19937533083384262,0.16522956210337336,0.21684067277693517,0.23972656734014086,0.1390007183112723,0.24789839490116664,0.2334529337144449,0.4008178432617202,0.248322421610074,0.34421353658564907,0.15977484128463668,0.28870215788391784,0.1265609887432209,0.2548006892510363,0.4927684568784172,0.23710355346131656,0.23648579798979263,0.16782137438951555,0.19095791817576205,0.2893040640893955,0.3359599637194771,0.3667580458724017,0.5825354359729024,-0.2992459799902776
P4,-0.0048851751300150615,-0.003828928382689086,-0.013829626191716802,-0.00268749563306546,-0.013953648847878872,-0.3721665109000543,0.46254864377642635,0.38447336414326533,0.36281903931385234,1.0,0.34373819307186154,0.44167105781312777,0.5179333331987245,0.06342297256723708,0.1192379999895426,0.16703290725519215,0.09840026456770538,0.16880980213088886,0.08698358464522148,0.35157782356862,0.25310940994441405,0.40447938134036804,0.19386966204628336,0.4365135458639853,0.23094309576102914,0.19353892166218895,0.023228080020247555,0.42404481387168685,0.3951150399723283,0.1866265656416525,0.3480080147784478,0.21111979225560623,0.2522553050998896,0.5273059652422158,0.35692443620585834,0.29073351984304496,0.5658868892524569,-0.28047474811456585
