,PatientID,SiteID,RaterID,AssessmentID,TxGroup,VisitDay,P1,P2,P3,P4,P5,P6,P7,N1,N2,N3,N4,N5,N6,N7,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,PANSS_Total,numVisit
PatientID,1.0,0.09801780945333895,-0.006296769731038888,0.008706806725231423,0.08513658900949493,0.030650386484751515,0.025719740040958526,0.00028829454569336856,-0.028520900226934123,0.03440935604749002,-0.04873530948805678,0.0046970724088487605,-0.0077918970590710075,-0.00019298192208162834,-0.04650506974191274,-0.05984778305306339,-0.05777449682780078,-0.03558979021736193,-0.04409570039433685,0.029905152323821873,0.012824984937261604,0.020212238875124886,-0.01601405586857566,0.05320550958880417,0.004857661483565012,0.016531053224240932,0.040114407609440884,-0.01667178918480362,-0.0014657690908713528,0.02713622745380497,-0.030638926399295534,-0.025338208310652307,-0.056275785748378035,-0.03827399294779531,-0.05090211395676601,0.01287936492156178,-0.02367218635803698,-0.0026554617253841586
SiteID,0.09801780945333895,1.0,-0.1512242934112289,0.025789435233498696,-0.024791006987928382,0.013938733794512395,0.09868480688980337,0.07748067895892155,0.11192906896945601,0.015926542043856077,0.060695640344424734,0.15215150122130422,0.05935210042339865,0.06444798420722751,-0.026794468864330116,-0.044474407946172384,0.0015068870020797003,0.007332475034355202,0.01531839273911899,0.09502287375202179,0.1341891185397244,0.12303915732573453,0.013803949946160674,0.18738249650937638,-0.010408736796518972,0.1934010646525067,0.1117326451424118,-0.006354004156076336,0.19344922259826422,-0.01568098528442339,0.038319207163330926,0.014138485962224409,-0.06943401429079772,0.09870472664990891,0.02297008561968586,0.1752590497773422,0.14676957094668558,-0.015690825396805094
RaterID,-0.006296769731038888,-0.1512242934112289,1.0,-0.015219471707936623,0.06315476676446165,0.019959253917916715,0.04849148001793947,-0.06425351439331585,0.08059739273514334,-0.010321161096011966,-0.005773791795523993,0.0797864944528383,0.045536315266035486,-0.0673361843535029,0.02376360163964045,-0.10927206277525414,0.003699842176116246,-0.022673123472183913,-0.09686370209365021,-0.10979249371829261,-0.061541216054885724,0.029347590499144493,-0.008290347177648746,-0.07797137756583075,0.028549028857230343,0.035943668009530055,0.03206774733920351,0.022853098345368632,0.04884732041908941,0.14545520161052683,-0.05727410695525662,-0.10700225169094757,-0.13724560415782988,0.0036903524719630984,-0.054112278690629824,0.0043739050860724035,-0.029098461816546593,0.0019624248347458574
AssessmentID,0.008706806725231423,0.025789435233498696,-0.015219471707936623,1.0,0.008053366699833244,-0.005570805416502919,0.027456586539115226,-0.05059996441015085,-0.00062665782109399,-0.014046362855611864,0.04791079342475696,0.021589916394892873,-0.017345279890519563,-0.04562893801233077,-0.05677256790096172,-0.05045024289225254,-0.07154815880847615,-0.005037905234510617,-0.032684947329732775,-0.008432239213437295,0.012364316196461972,-0.014104898181121676,-0.010849542131691604,-0.0010876833795552656,-0.05178275265406481,0.008036530308105775,-0.00929963324998253,-0.036767402795171496,-0.025920487865819682,-0.0166186975183128,-0.0537010776978783,-0.061086821654856564,-0.06903364418821557,0.01362310748370423,-0.014575734497153842,-0.013384711414444417,-0.047722391179629495,0.005440403522577843
TxGroup,0.08513658900949493,-0.024791006987928382,0.06315476676446165,0.008053366699833244,1.0,0.036754756406997845,-0.03071355276086206,0.032328425146250124,0.016233147476644564,0.03749756752430742,0.008971858516120236,-0.01759380084720845,0.02987525989354689,-0.07061240967744448,-0.06572499072130537,-0.09780459266099042,-0.07248358098958445,-0.006405983622271,-0.05953676749022734,-0.04021153800592727,0.04550374641716053,-0.010835311472828082,-0.011503102367746262,-0.04505759120589904,0.004962376114977439,0.0243602343946699,-0.018746414167163685,-0.015565024180292148,-0.024397751208929955,-0.026710760531091074,0.0037848658866693414,-0.07613225734570626,-0.0405605417022416,-0.03106975220181151,-0.00942878198338458,-0.01863748997685331,-0.04804563688049894,0.007248321870481917
VisitDay,0.030650386484751515,0.013938733794512395,0.019959253917916715,-0.005570805416502919,0.036754756406997845,1.0,-0.13494702651311907,-0.05087768633833104,-0.0943570724334933,-0.07554207806126179,-0.1025967691063719,-0.13999903365745645,-0.10534260614771516,-0.05609722052173019,-0.07896473278212185,-0.11887890465008778,-0.07135918936620411,-0.037291922865208604,-0.07047866102227417,-0.08687791841232093,-0.02987011139897774,-0.09535817825053558,-0.09569974985588649,-0.08434864088424521,-0.07424510508924408,0.001431925859446592,-0.05790694207289997,-0.11234017485479855,-0.09748213525260839,-0.07851320505693148,-0.09164911086528996,-0.026789391310777073,-0.07212179508483199,-0.11852990615789104,-0.07701570580678335,-0.11440278659464974,-0.18742914306391764,0.34717762205489633
P1,0.025719740040958526,0.09868480688980337,0.04849148001793947,0.027456586539115226,-0.03071355276086206,-0.13494702651311907,1.0,0.18817787059298888,0.4850610738059895,0.23457340184507514,0.37242992332893415,0.5459351214216482,0.20588835706540992,-0.019497356144288467,0.010486407909489097,-0.019578428284895196,-0.017627817312827598,0.10169132008345894,-0.09837701120915364,0.17130662491013793,0.2081503596223698,0.3522756807438673,0.20568508707910835,0.32358249995968774,0.09362837462619392,0.23661457635525177,0.0337890347833088,0.10454415311583577,0.6175138007622902,0.13718495715343676,0.06257015637796164,0.11099501829175439,-0.01700600259448719,0.20233925539678022,0.3514662464986717,0.33612428369098285,0.5104206094286613,-0.06450073952867802
P2,0.00028829454569336856,0.07748067895892155,-0.06425351439331585,-0.05059996441015085,0.032328425146250124,-0.05087768633833104,0.18817787059298888,1.0,-0.13869494972776764,0.13991906158859654,0.035991330642819355,0.0009791851394533705,0.1279843194294374,0.3246872730232964,0.3114870080183844,0.39694856529036027,0.30754172418637477,0.25665878763274474,0.22752238982970788,0.45959325091958514,0.055550806678951695,0.09413468001211726,-0.0116921356453266,0.2063609480327811,0.436953831793857,-0.005389222064620655,0.14441668743428052,0.32998404369766143,0.2955747853640068,0.17957667276369474,0.5087788762353282,0.4111949232105752,0.4242353669587627,0.14556115606438452,0.34454530359756674,0.1011609692119267,0.5679655504477062,0.029854279145145247
P3,-0.028520900226934123,0.11192906896945601,0.08059739273514334,-0.00062665782109399,0.016233147476644564,-0.0943570724334933,0.4850610738059895,-0.13869494972776764,1.0,0.12739590394400926,0.22872503174310851,0.43286771437822635,0.12064781569152574,-0.154975064759228,-0.0944079470617994,-0.21494349825352552,-0.094025186287715,0.0583518506859821,-0.12163435235689334,-0.10653190038962765,0.1062504234064431,0.25179446428389035,0.15918311036087265,0.16734507768571777,-0.15925000824896696,0.25660316259711613,-0.027191596669841476,-0.08417446106022117,0.29528739236306606,0.08279779460444525,-0.12895551620532136,-0.1394654122935082,-0.21468292441456602,0.0946214663888174,0.13407261860939937,0.22987293202529652,0.21123497071129232,-0.09461133359419238
P4,0.03440935604749002,0.015926542043856077,-0.010321161096011966,-0.014046362855611864,0.03749756752430742,-0.07554207806126179,0.23457340184507514,0.13991906158859654,0.12739590394400926,1.0,0.21707023088470778,0.23357066994206677,0.3511223898933113,-0.15176244496991056,-0.08583348870328712,-0.04618341361147433,-0.11075935766261766,0.03699745579026658,-0.11994578430951676,0.14579383838495386,0.1272014822096261,0.23483690962423096,0.15782898134942408,0.2960372452213542,0.10490705926216747,0.11661691363283722,-0.0879744196698536,0.1901836476211938,0.2101158547496739,0.08838518613195409,0.08893046595230611,0.05018029437931379,0.026594291007085408,0.434376066152571,0.14161127222667738,0.15672769869657097,0.29592611386311934,-0.034582003219583414
